transaction_id,account_id,amount,status,channel,timestamp,description
TXN-0001, 11111111-1111-1111-1111-111111111111 ,$1,250.00,COMPLETADA,APP,2026-09-15 08:23:11,Pago de servicios
TXN-0002,22222222-2222-2222-2222-222222222222,500.00,ok,Web,15/09/2026,Transferencia a tercero
TXN-0003,22222222-2222-2222-2222-222222222222,500.00,ok,Web,15/09/2026,Transferencia a tercero
TXN-0004,33333333-3333-3333-3333-333333333333,,pendiente, ATM ,2026-09-15T09:02:44Z,Retiro cajero
TXN-0005,44444444-4444-4444-4444-444444444444,$75.50,C,app,16/09/2026 10:15,Compra POS
TXN-0006,,120.00,completada,Web,2026-09-16 11:47:00,Pago tarjeta
TXN-0007,55555555-5555-5555-5555-555555555555,N/A,ERROR,APP,2026-09-16 12:05:30,Transferencia fallida
TXN-0008,66666666-6666-6666-6666-666666666666,"2,340.75",Completada,web,2026-09-17 07:59:59,Depósito nómina
TXN-0009,77777777-7777-7777-7777-777777777777,15000.00,REVERSADA,ATM,17/09/2026,Reverso de transacción
TXN-0010,88888888-8888-8888-8888-888888888888,300.00,pending,App,2026-09-17T18:30:00Z,Pago de tarjeta de crédito
